epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,10363.5,0.35736,0.60155,0.72467,0.91099,0,0.96651,0.97189,0.98568,0.97539,0.9645,0.96984,0.98229,0.97431,0.13751,0.25063,0.19271,0.76998,0,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,10830.2,0.35107,0.59129,0.69803,0.91363,0,0.97415,0.98319,0.98406,0.97584,0.97215,0.98113,0.98035,0.97443,0.13243,0.23822,0.17638,0.76442,0,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,11296.4,0.35569,0.60617,0.70268,0.91205,0,0.97601,0.97948,0.98625,0.97796,0.974,0.97742,0.98263,0.9777,0.13529,0.23237,0.1771,0.76236,0,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,11762.7,0.34813,0.58716,0.68837,0.9074,0,0.97548,0.97309,0.984,0.97535,0.97348,0.97103,0.9806,0.97584,0.13392,0.24346,0.17414,0.76417,0,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,12229.8,0.3461,0.5876,0.68558,0.90884,0,0.97182,0.98151,0.98451,0.97611,0.96988,0.97969,0.98123,0.97535,0.13068,0.23513,0.17809,0.76309,0,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,12696.2,0.34673,0.58009,0.68685,0.91181,0,0.9752,0.9776,0.98433,0.97641,0.9731,0.97564,0.98046,0.97529,0.1319,0.23505,0.17107,0.76323,0,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,13162.8,0.34097,0.58266,0.66407,0.9079,0,0.97001,0.9792,0.98676,0.97802,0.96799,0.97715,0.98307,0.97816,0.13329,0.22678,0.16781,0.76205,0,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,13629.9,0.33341,0.56007,0.64685,0.90063,0,0.97743,0.98384,0.98436,0.97653,0.97543,0.98178,0.98158,0.97595,0.13172,0.22182,0.16328,0.76428,0,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,14096.8,0.3441,0.57548,0.66128,0.90751,0,0.97067,0.98021,0.98136,0.97313,0.96867,0.97815,0.97812,0.97299,0.13367,0.23331,0.17207,0.76656,0,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,14563.2,0.3391,0.5614,0.64738,0.90885,0,0.9752,0.97991,0.98406,0.97496,0.97308,0.97794,0.98044,0.97466,0.12953,0.23165,0.16759,0.76554,0,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,15029.2,0.336,0.57839,0.63115,0.90476,0,0.97404,0.97576,0.98358,0.97588,0.97203,0.97371,0.98057,0.97623,0.12651,0.2293,0.1647,0.76635,0,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,15495.4,0.33032,0.55414,0.62899,0.90194,0,0.97936,0.98046,0.98383,0.97422,0.97737,0.97858,0.98076,0.97535,0.12668,0.23958,0.15366,0.76559,0,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,15963.5,0.33393,0.5524,0.62794,0.90239,0,0.9721,0.98028,0.98299,0.9754,0.97115,0.97938,0.98022,0.97527,0.1252,0.23808,0.16104,0.76347,0,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,16431.9,0.32864,0.53767,0.60281,0.90049,0,0.97515,0.97768,0.9845,0.97751,0.97439,0.97653,0.98231,0.97865,0.12493,0.24047,0.15958,0.76469,0,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,16898.2,0.32205,0.54182,0.59664,0.89753,0,0.97965,0.98016,0.98182,0.97456,0.97775,0.97963,0.97896,0.9739,0.12173,0.22832,0.15039,0.76278,0,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,17365,0.32758,0.53531,0.59887,0.89811,0,0.97734,0.98079,0.98376,0.97576,0.97562,0.97937,0.98125,0.97669,0.12341,0.23183,0.14692,0.7647,0,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,17832.6,0.32347,0.53236,0.58705,0.89365,0,0.97878,0.97684,0.98432,0.9741,0.97683,0.97507,0.98099,0.97583,0.1262,0.22254,0.15513,0.76353,0,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,18297.1,0.3224,0.53505,0.58405,0.89875,0,0.97625,0.98359,0.98412,0.97534,0.97423,0.98153,0.98038,0.97546,0.12112,0.22687,0.15342,0.76358,0,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,18764.7,0.32229,0.53918,0.58428,0.89716,0,0.98042,0.98146,0.98241,0.9755,0.97839,0.9794,0.97924,0.97396,0.11923,0.23515,0.14521,0.7625,0,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,19232.1,0.31707,0.52454,0.57393,0.8962,0,0.97311,0.98331,0.98326,0.9755,0.97114,0.98125,0.9808,0.97644,0.12154,0.23097,0.15053,0.76621,0,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,19699.1,0.32386,0.53499,0.5815,0.89984,0,0.9823,0.98208,0.98317,0.97377,0.98027,0.98002,0.98,0.97622,0.12397,0.23822,0.15063,0.76529,0,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,20165.9,0.3179,0.53218,0.57121,0.89456,0,0.97707,0.97867,0.98253,0.9756,0.97509,0.97661,0.97914,0.97401,0.11691,0.23133,0.14414,0.76148,0,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,20633.2,0.31576,0.51785,0.5615,0.89602,0,0.98064,0.98208,0.98287,0.97601,0.97854,0.98011,0.98015,0.97598,0.11918,0.23173,0.14061,0.76536,0,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,21100.4,0.31393,0.5326,0.55785,0.89477,0,0.98108,0.98291,0.98576,0.97775,0.97906,0.98085,0.98349,0.97911,0.11806,0.23001,0.14084,0.76165,0,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,21567.8,0.31481,0.52516,0.55971,0.89257,0,0.97973,0.98487,0.9855,0.97752,0.9777,0.98281,0.98301,0.97907,0.11801,0.2263,0.14266,0.76274,0,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,22035.1,0.30789,0.50562,0.55014,0.89062,0,0.98224,0.98195,0.98292,0.97619,0.97999,0.97996,0.98017,0.97578,0.11154,0.21961,0.13681,0.75971,0,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
