model,backend,mAP50_box,mAP50_95_box,precision,recall,val_save_dir,params_M,flops_G_640,size_MB,latency_ms_mean,latency_ms_p50,latency_ms_p95,fps,vram_MB,samples
YOLOv8m-seg V6,yolo,0.9859565938071904,0.9798569069453696,0.9767741929321976,0.9854610326584446,C:\Users\javie\OneDrive\Escritorio\Master\Vision Artificial\blackjack-VAI\comparison_runs\val\yolov8m_seg_v6,27.25365,1.0446105599999999e-07,54.930181,41.83005600760225,41.41634999541566,44.55156504991464,23.906255344679877,673.139712,200
RT-DETR-L matched,rtdetr,0.9803999163844176,0.9158109159659317,0.9687913337836407,0.9751603123069943,C:\Users\javie\OneDrive\Escritorio\Master\Vision Artificial\blackjack-VAI\comparison_runs\val\rt_detr_l_matched,32.09471,1.036690432e-07,66.436285,58.09024999907706,57.7841000049375,61.85088998754509,17.21459281059882,663.079424,200
