epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,6580.39,0.20699,0.39546,0.14383,0.96225,0.98159,0.98007,0.90826,0.12262,0.26595,0.17272,0.000127485,0.000127485,0.000127485
43,6736.61,0.21311,0.40743,0.14883,0.96121,0.96156,0.97493,0.86696,0.15365,0.31072,0.21987,0.000125513,0.000125513,0.000125513
44,6892.77,0.20898,0.40434,0.14456,0.96149,0.953,0.97248,0.88695,0.13531,0.29747,0.18799,0.000123514,0.000123514,0.000123514
45,7049.05,0.20545,0.39719,0.14526,0.96231,0.97558,0.97463,0.87333,0.14866,0.29415,0.21079,0.00012149,0.00012149,0.00012149
46,7205.43,0.20632,0.38546,0.14186,0.9566,0.97051,0.97476,0.86527,0.15967,0.29972,0.23013,0.000119442,0.000119442,0.000119442
47,7361.29,0.208,0.39095,0.14471,0.96293,0.97843,0.97566,0.88012,0.14484,0.28424,0.21182,0.000117371,0.000117371,0.000117371
48,7517.66,0.20655,0.38495,0.14294,0.96873,0.97609,0.97941,0.86765,0.15883,0.29412,0.23197,0.00011528,0.00011528,0.00011528
49,7673.55,0.20655,0.38359,0.13936,0.96721,0.96547,0.9752,0.88276,0.14477,0.2865,0.20732,0.00011317,0.00011317,0.00011317
50,7829.78,0.20034,0.37844,0.14202,0.97516,0.98292,0.97883,0.87261,0.15546,0.29608,0.22435,0.000111041,0.000111041,0.000111041
51,7986,0.20215,0.38612,0.14177,0.97232,0.97931,0.98191,0.88088,0.15041,0.27773,0.21145,0.000108896,0.000108896,0.000108896
52,8142.43,0.19803,0.37533,0.13476,0.97982,0.98318,0.98116,0.87817,0.1515,0.27971,0.21863,0.000106736,0.000106736,0.000106736
53,8298.49,0.20088,0.38241,0.1379,0.96404,0.97998,0.97889,0.86446,0.16205,0.29319,0.2353,0.000104562,0.000104562,0.000104562
54,8454.83,0.2007,0.37965,0.14324,0.97619,0.98571,0.98017,0.86097,0.1685,0.29038,0.25007,0.000102376,0.000102376,0.000102376
55,8610.97,0.19561,0.37273,0.14143,0.96422,0.9791,0.97658,0.84635,0.17915,0.30849,0.26476,0.000100179,0.000100179,0.000100179
56,8767.2,0.19317,0.36588,0.13194,0.93768,0.97586,0.96728,0.85168,0.1694,0.3238,0.25252,9.7973e-05,9.7973e-05,9.7973e-05
57,8923.58,0.19234,0.36755,0.13301,0.96906,0.9837,0.97836,0.86798,0.16143,0.28664,0.2319,9.57596e-05,9.57596e-05,9.57596e-05
58,9080.46,0.19626,0.37091,0.13265,0.97137,0.97926,0.97835,0.87348,0.15061,0.28189,0.21184,9.354e-05,9.354e-05,9.354e-05
59,9236.64,0.1913,0.36192,0.13481,0.96584,0.9767,0.97722,0.87444,0.15345,0.29488,0.21899,9.13159e-05,9.13159e-05,9.13159e-05
60,9392.99,0.19143,0.35879,0.12994,0.96668,0.97871,0.97635,0.8819,0.14456,0.27973,0.20817,8.90887e-05,8.90887e-05,8.90887e-05
61,9549.24,0.19168,0.3653,0.13297,0.95838,0.98421,0.97512,0.87623,0.14662,0.2826,0.21241,8.686e-05,8.686e-05,8.686e-05
62,9705.65,0.18982,0.36384,0.13266,0.95283,0.97535,0.97122,0.86255,0.16097,0.29536,0.23225,8.46313e-05,8.46313e-05,8.46313e-05
