epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2658.89,0.25507,0.40945,0.55695,0.89538,0,0.93021,0.92725,0.96931,0.95036,0.91818,0.92655,0.9617,0.95093,0.16927,0.24227,0.27384,0.79478,0,0.000143164,0.000143164,0.000143164
29,2743.75,0.25842,0.43888,0.54857,0.89891,0,0.94163,0.90348,0.96576,0.94845,0.93541,0.89732,0.95953,0.94983,0.16797,0.24656,0.29728,0.80022,0,0.00014113,0.00014113,0.00014113
30,2828.1,0.24844,0.39925,0.51683,0.89262,0,0.94972,0.91639,0.9669,0.94848,0.94355,0.91028,0.96067,0.95015,0.16824,0.24322,0.27589,0.79394,0,0.000139043,0.000139043,0.000139043
31,2918.11,0.25347,0.41429,0.54892,0.89289,0,0.93172,0.9272,0.9689,0.95039,0.92602,0.92091,0.9606,0.95378,0.16417,0.23696,0.27062,0.79578,0,0.000136904,0.000136904,0.000136904
32,3005.49,0.24329,0.4066,0.53714,0.89487,0,0.94722,0.92685,0.96539,0.9462,0.94115,0.92071,0.95547,0.94719,0.16237,0.24742,0.2739,0.79425,0,0.000134716,0.000134716,0.000134716
33,3089.03,0.24942,0.39164,0.51092,0.89015,0,0.93979,0.94011,0.97086,0.95022,0.93395,0.93382,0.96045,0.953,0.16195,0.2335,0.26795,0.79678,0,0.00013248,0.00013248,0.00013248
34,3176.87,0.24837,0.41164,0.51642,0.89642,0,0.95298,0.90802,0.97169,0.95231,0.94704,0.90173,0.96223,0.95378,0.15748,0.26086,0.26658,0.79683,0,0.0001302,0.0001302,0.0001302
35,3262.22,0.24673,0.40199,0.51914,0.89452,0,0.92346,0.94281,0.96859,0.9472,0.91764,0.93679,0.95818,0.95001,0.16572,0.23789,0.26423,0.79432,0,0.000127877,0.000127877,0.000127877
36,3348.35,0.23236,0.34566,0.49821,0.88098,0,0.94264,0.93604,0.97458,0.95526,0.93661,0.92992,0.96417,0.95701,0.15066,0.24659,0.26874,0.79081,0,0.000125513,0.000125513,0.000125513
37,3437.62,0.24481,0.38735,0.50149,0.89077,0,0.95611,0.94754,0.97931,0.96055,0.95018,0.94125,0.9689,0.95876,0.15396,0.2394,0.22955,0.78987,0,0.000123111,0.000123111,0.000123111
38,3526.18,0.24214,0.38103,0.48227,0.89152,0,0.9435,0.93677,0.97114,0.95306,0.93738,0.93062,0.96093,0.95409,0.14724,0.25706,0.2571,0.7878,0,0.000120673,0.000120673,0.000120673
39,3615.35,0.23911,0.4041,0.47701,0.89737,0,0.93762,0.94633,0.96989,0.95223,0.9329,0.94021,0.96159,0.95303,0.1557,0.24551,0.25271,0.79202,0,0.000118202,0.000118202,0.000118202
40,3702.26,0.2425,0.40628,0.48726,0.89057,0,0.95978,0.92159,0.97569,0.95698,0.95355,0.91542,0.96528,0.96037,0.1536,0.2405,0.24559,0.79804,0,0.0001157,0.0001157,0.0001157
41,3788.48,0.23513,0.38195,0.47965,0.8893,0,0.93709,0.9262,0.96565,0.94777,0.93104,0.92016,0.95734,0.95033,0.15453,0.2471,0.25903,0.79293,0,0.00011317,0.00011317,0.00011317
42,3874.51,0.2302,0.38267,0.47007,0.88524,0,0.9464,0.93064,0.96835,0.94749,0.94041,0.92464,0.95794,0.95004,0.16912,0.24992,0.2616,0.79518,0,0.000110613,0.000110613,0.000110613
43,3959.5,0.24006,0.39248,0.46963,0.89505,0,0.94998,0.92965,0.96578,0.94791,0.94388,0.92346,0.95955,0.95392,0.14848,0.23089,0.26529,0.78716,0,0.000108033,0.000108033,0.000108033
44,4063.96,0.23215,0.34463,0.45333,0.88592,0,0.94819,0.93132,0.97137,0.95202,0.94193,0.92534,0.96307,0.95664,0.15257,0.23092,0.24363,0.79692,0,0.000105433,0.000105433,0.000105433
45,4182.34,0.23371,0.36503,0.44765,0.89409,0,0.95168,0.91669,0.96919,0.95137,0.9457,0.9104,0.96089,0.95484,0.15489,0.23599,0.26184,0.78937,0,0.000102814,0.000102814,0.000102814
46,4278.71,0.22899,0.36074,0.42999,0.89109,0,0.93729,0.94783,0.97277,0.95679,0.93119,0.9418,0.96447,0.95846,0.14171,0.22665,0.24263,0.78181,0,0.000100179,0.000100179,0.000100179
47,4363.24,0.22908,0.38092,0.44652,0.8834,0,0.9388,0.95052,0.97603,0.95632,0.93285,0.94433,0.96562,0.95807,0.1473,0.23305,0.23675,0.78636,0,9.75309e-05,9.75309e-05,9.75309e-05
48,4452.92,0.22837,0.38027,0.44989,0.88549,0,0.95333,0.94408,0.97319,0.9554,0.94721,0.93794,0.96489,0.95797,0.14716,0.22006,0.2412,0.78899,0,9.48724e-05,9.48724e-05,9.48724e-05
49,4562.98,0.22732,0.36392,0.43074,0.88412,0,0.95108,0.9347,0.96932,0.95037,0.9451,0.92841,0.95892,0.95173,0.14809,0.2334,0.23829,0.78679,0,9.2206e-05,9.2206e-05,9.2206e-05
50,4651.75,0.22533,0.36619,0.43814,0.88523,0,0.9489,0.9548,0.97398,0.95865,0.94286,0.94868,0.96793,0.95914,0.13511,0.23123,0.22036,0.78086,0,8.95343e-05,8.95343e-05,8.95343e-05
51,4748.32,0.22685,0.38236,0.42296,0.88642,0,0.95619,0.95356,0.97459,0.9568,0.95009,0.94738,0.96629,0.95875,0.1453,0.23328,0.22206,0.78263,0,8.686e-05,8.686e-05,8.686e-05
52,4839.05,0.22853,0.35114,0.42097,0.88722,0,0.95812,0.94222,0.97215,0.95473,0.95201,0.93608,0.96385,0.9574,0.14101,0.23769,0.22273,0.78217,0,8.41857e-05,8.41857e-05,8.41857e-05
53,4927.04,0.22319,0.38012,0.41808,0.88479,0,0.95055,0.93902,0.96871,0.9498,0.9445,0.93284,0.9583,0.95023,0.14333,0.23725,0.24023,0.78528,0,8.1514e-05,8.1514e-05,8.1514e-05
54,5013.48,0.22139,0.36626,0.41407,0.88472,0,0.9533,0.93639,0.97671,0.95821,0.94708,0.93054,0.96855,0.96127,0.14152,0.2237,0.22203,0.78522,0,7.88476e-05,7.88476e-05,7.88476e-05
55,5098.04,0.21398,0.32728,0.40388,0.87816,0,0.94281,0.95746,0.97445,0.95418,0.93681,0.95128,0.96404,0.95582,0.13585,0.23433,0.22065,0.78022,0,7.61891e-05,7.61891e-05,7.61891e-05
56,5183.72,0.21819,0.34226,0.39945,0.883,0,0.95245,0.95441,0.97712,0.96056,0.94694,0.94613,0.96993,0.96174,0.14019,0.23299,0.22353,0.78851,0,7.35412e-05,7.35412e-05,7.35412e-05
57,5270.85,0.21946,0.34365,0.39252,0.88213,0,0.9564,0.94793,0.97489,0.95906,0.9504,0.94164,0.96674,0.9608,0.13419,0.22577,0.21471,0.78074,0,7.09064e-05,7.09064e-05,7.09064e-05
58,5358.93,0.21382,0.33849,0.38382,0.88017,0,0.96802,0.95011,0.97353,0.95737,0.96187,0.94382,0.96523,0.95884,0.13981,0.22651,0.21217,0.78673,0,6.82873e-05,6.82873e-05,6.82873e-05
