epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3366.66,0.30065,0.48651,0.58485,0.8886,0,0.97638,0.96997,0.98201,0.9719,0.97428,0.96799,0.97861,0.973,0.14271,0.23667,0.18179,0.776,0,0.000151601,0.000151601,0.000151601
29,3486.77,0.29532,0.4824,0.57105,0.88303,0,0.97679,0.96868,0.98378,0.97333,0.97357,0.96547,0.97867,0.97309,0.13393,0.24893,0.17905,0.77152,0,0.000150131,0.000150131,0.000150131
30,3606.96,0.29895,0.50609,0.57147,0.88533,0,0.97203,0.97149,0.98334,0.97324,0.96997,0.96954,0.98099,0.97456,0.14542,0.23622,0.18419,0.77773,0,0.000148618,0.000148618,0.000148618
31,3727.1,0.28848,0.45651,0.55147,0.88412,0,0.96951,0.97358,0.98298,0.97133,0.9675,0.97152,0.98004,0.97097,0.14544,0.25021,0.17794,0.77782,0,0.000147063,0.000147063,0.000147063
32,3847.69,0.29501,0.47934,0.56047,0.88608,0,0.96421,0.98029,0.98461,0.97222,0.96223,0.97824,0.98144,0.97295,0.14225,0.24423,0.1796,0.77731,0,0.000145467,0.000145467,0.000145467
33,3968.54,0.29505,0.47669,0.57017,0.88468,0,0.97876,0.9742,0.98531,0.97208,0.97674,0.97214,0.98145,0.97597,0.13491,0.23594,0.16846,0.77139,0,0.00014383,0.00014383,0.00014383
34,4089.06,0.29663,0.48752,0.56159,0.89006,0,0.96158,0.97734,0.98538,0.97452,0.95977,0.97528,0.98176,0.9749,0.14082,0.22012,0.17572,0.77691,0,0.000142154,0.000142154,0.000142154
35,4208.96,0.29586,0.47843,0.54526,0.88347,0,0.97371,0.98105,0.9844,0.97473,0.97177,0.979,0.98224,0.97621,0.13327,0.22857,0.17081,0.77747,0,0.00014044,0.00014044,0.00014044
36,4327.08,0.2972,0.46921,0.54738,0.88537,0,0.96757,0.97563,0.98267,0.97201,0.96564,0.97378,0.97881,0.97348,0.14107,0.23515,0.18736,0.77803,0,0.00013869,0.00013869,0.00013869
37,4446.34,0.28896,0.48135,0.53556,0.88458,0,0.9724,0.97898,0.98487,0.97497,0.97059,0.97692,0.98229,0.97794,0.13402,0.23301,0.16762,0.77308,0,0.000136904,0.000136904,0.000136904
38,4567.53,0.29516,0.48723,0.54657,0.88336,0,0.97656,0.97442,0.98463,0.97301,0.97472,0.97236,0.98214,0.97695,0.1379,0.22464,0.16691,0.77595,0,0.000135084,0.000135084,0.000135084
39,4686.84,0.28256,0.47022,0.52094,0.88376,0,0.97447,0.98057,0.98565,0.97643,0.97263,0.97851,0.98203,0.97578,0.13612,0.23363,0.16525,0.77522,0,0.000133231,0.000133231,0.000133231
40,4806.44,0.29352,0.48325,0.53582,0.88718,0,0.97542,0.98024,0.9856,0.97598,0.97359,0.97818,0.98334,0.97676,0.13394,0.23558,0.1634,0.77432,0,0.000131346,0.000131346,0.000131346
41,4924.7,0.29017,0.4769,0.52097,0.88545,0,0.97393,0.97742,0.98579,0.97429,0.972,0.97548,0.98193,0.97675,0.14022,0.23478,0.16884,0.7754,0,0.00012943,0.00012943,0.00012943
